KEPLER_ID,DR16_TEFF_COR,DR16_TEFF_COR_ERR,DR17_TEFF_COR,DR17_TEFF_COR_ERR,APOKASC3_EVSTATE,APOKASC3_SEIS_SOURCE,APOKASC3_SPEC_SOURCE,APOKASC3_MASS,APOKASC3_MASS_ERR,APOKASC3_RADIUS,APOKASC3_RADIUS_ERR,APOKASC3_LOGG,APOKASC3_LOGG_ERR,APOKASC3_TEFF,APOKASC3_TEFF_ERR,APOKASC3_LOGG_SPEC,APOKASC3_LOGG_SPEC_ERR,APOKASC3_M_H,APOKASC3_M_H_ERR,APOKASC3_ALPHA_M,APOKASC3_ALPHA_M_ERR,APOKASC3_CAT_AGE,APOKASC3_AGE_RGB,APOKASC3_AGE_RGB_PERR,APOKASC3_AGE_RGB_MERR,GAIA_TEFF,GAIA_RADIUS,GAIA_LUMINOSITY
12783669,4645.056,91.12384,4669.0645,9.882828,RGB,WAvg,DR17,1.0196,0.0426,8.2222,0.1537,2.6182,0.0044,4669.0645,48.2956,2.5876,0.058,-0.4761,0.058,0.2552,0.022,RGB,8.5084,1.4601,-1.1799,4891.82,7.0390735,25.562746
12783857,4704.3535,91.52407,4708.1973,9.913833,RGB,WAvg,DR17,1.1702,0.0489,7.1478,0.1335,2.7997,0.0044,4708.1973,48.5078,2.7932,0.058,-0.1313,0.058,0.1456,0.022,RGB,6.3168,0.8616,-0.7026,4879.75,5.926686,17.94357
12785250,4773.417,102.94986,4784.141,13.027884,RGB,WAvg,DR17,1.2168,0.0468,11.1475,0.1929,2.4285,0.0044,4784.141,54.5634,2.4946,0.058,-0.3854,0.058,0.0774,0.022,RGB,4.4587,0.5163,-0.4558,4807.18,9.944412,47.578915
12884116,4641.728,80.346634,4645.334,7.3779263,RGB,WAvg,DR17,1.1107,0.0428,8.6775,0.1504,2.6086,0.0038,4645.334,42.5837,2.6754,0.058,-0.0631,0.058,0.0762,0.022,RGB,7.6715,1.0086,-0.7863,4662.0,7.924357,26.724638
12885196,4716.145,88.645004,4702.0967,9.393486,RGB,WAvg,DR17,1.3182,0.0551,6.9858,0.1305,2.8713,0.0043,4702.0967,46.9819,2.8123,0.058,0.1631,0.058,0.0282,0.022,RGB,4.9813,0.553,-0.4742,4840.8574,6.0634847,18.189821
1294122,4805.9585,85.09579,4780.2866,8.215182,RGB,WAvg,DR17,1.3468,0.0518,7.7783,0.1346,2.7873,0.0039,4780.2866,45.1008,2.7489,0.058,-0.0811,0.058,0.0211,0.022,RGB,3.9144,0.4031,-0.3565,4749.0,7.4622946,25.51809
1294385,4823.562,84.43216,4807.2637,8.124003,RGB,WAvg,DR17,1.4216,0.0546,6.7136,0.1161,2.9387,0.0039,4807.2637,44.749,2.9594,0.058,0.0497,0.058,-0.0052,0.022,RGB,3.5773,0.3401,-0.3023,4864.91,6.3876657,20.591045
1296068,4586.5454,93.37703,4587.253,10.167019,RGB,WAvg,DR17,1.0399,0.0402,7.7756,0.1349,2.6753,0.0042,4587.253,49.4898,2.654,0.058,-0.0167,0.058,0.1107,0.022,RGB,10.3878,1.5035,-1.2653,4723.3174,6.50339,18.965435
1296507,4913.7866,110.37021,4897.0596,14.354239,RGB,WAvg,DR17,1.5395,0.059,6.4046,0.1107,3.0142,0.0045,4897.0596,58.4962,3.1668,0.058,-0.0053,0.058,0.0066,0.022,RGB,2.6632,0.2507,-0.2131,5014.0,6.5357995,24.32369
1429505,4682.17,87.0872,4683.642,9.667706,RGB,WAvg,DR17,1.1279,0.0434,8.3276,0.1443,2.651,0.004,4683.642,46.1562,2.6824,0.058,-0.117,0.058,0.056,0.022,RGB,7.1138,0.8623,-0.7291,4754.1123,6.9152465,22.008366
1430985,4977.5156,103.00991,5009.838,13.230078,RGB,WAvg,DR17,1.2387,0.0515,5.8041,0.1081,3.0053,0.0045,5009.838,54.5953,3.048,0.058,-0.4328,0.058,0.1095,0.022,RGB,4.0982,0.5195,-0.4175,5038.3335,5.1843033,15.603541
1431059,4802.1313,106.1301,4786.8867,13.344079,RGB,WAvg,DR17,1.1429,0.0439,4.7597,0.0824,3.1426,0.0044,4786.8867,56.249,3.1471,0.058,0.0857,0.058,0.0512,0.022,RGB,7.6513,1.0312,-0.8253,4829.73,4.355625,9.300089
1433593,4799.423,83.50147,4769.933,7.8115993,RGB,WAvg,DR17,1.6795,0.0646,9.1136,0.1577,2.7456,0.0039,4769.933,44.2558,2.6765,0.058,0.0936,0.058,-0.0126,0.022,RGB,2.1457,0.1864,-0.148,4771.3027,8.497155,33.712402
1433730,4732.079,83.226875,4706.5117,7.820309,RGB,WAvg,DR17,1.8075,0.0696,12.416,0.2151,2.5081,0.0039,4706.5117,44.1102,2.397,0.058,-0.1104,0.058,0.0075,0.022,RGB,1.5338,0.1416,-0.1215,4630.3438,11.383216,53.66333
1433803,4735.8457,80.685295,4720.9194,7.3015738,RGB,WAvg,DR17,1.2145,0.0467,5.2466,0.0909,3.0845,0.0038,4720.9194,42.7632,2.9788,0.058,0.2173,0.058,0.0122,0.022,RGB,6.6435,0.801,-0.6346,4835.5,4.842296,11.549495
1569823,4524.377,75.41748,4503.2646,6.266292,RGB,WAvg,DR17,0.8719,0.0366,8.3913,0.1572,2.5322,0.0041,4503.2646,39.9713,2.5468,0.058,0.1922,0.058,0.027,0.022,RGB,21.5715,3.6972,-3.0911,4528.5,7.6537786,22.195452
1569842,4820.049,87.46624,4817.9907,8.873754,RGB,WAvg,DR17,1.0241,0.0393,5.062,0.0876,3.0415,0.0039,4817.9907,46.3571,3.0839,0.058,-0.2798,0.058,0.1598,0.022,RGB,9.166,1.3251,-1.2004,4972.0127,4.8051434,12.712657
1572175,4737.464,83.111465,4726.4106,7.8484316,RGB,WAvg,DR17,1.5948,0.0614,9.9047,0.1715,2.6508,0.0039,4726.4106,44.0491,2.6131,0.058,-0.0626,0.058,0.0188,0.022,RGB,2.3309,0.2441,-0.1984,4687.5703,10.210808,45.35301
